ID.Number,College.Name,State,Public.private,Avg.Math.SAT,Avg.Verbal.SAT,Avg.combined.SAT,Avg.ACT,First.quartile...Math.SAT,Third.quartile...Math.SAT,First.quartile...Verbal.SAT,Third.quartile...Verbal.SAT,First.quartile...ACT,Third.quartile...ACT,Num.applications.received,Num.applicants.accepted,Num.students.enrolled,Pct.new.students.from.top.10..of.HS.class,Pct.new.students.from.top.25..of.HS.class,Num.full.time.undergraduates,Num.part.time.undergraduates,In.state.tuition,Out.of.state.tuition,Room.and.Board.costs,Room.costs,Board.costs,Additional.fees,Estimated.book.costs,Estimated.personal.spending,Pct.of.faculty.with.PhDs,Pct.of.faculty.with.terminal.degree,Student.faculty.ratio,Pct.alumni.who.donate,Instructional.expenditure.per.student,Graduation.rate,Private.or.Public,InterQ_Math_SAT,InterQ_Verbal_SAT
1033,Oakwood College,AL,2,382,378,760,17,NA,NA,NA,NA,NA,NA,949,605,385,NA,NA,1316,135,6639,6639,3999,NA,NA,368,600,2500,52,52,14.5,12,7986,NA,Private,NA,NA
1036,Samford University,AL,2,NA,NA,NA,NA,485,585,445,545,22,28,1680,1395,691,34,76,2959,402,8236,8236,3700,3700,NA,NA,569,1650,74,75,14.7,17,9533,61,Private,100,100
1041,Spring Hill College,AL,2,525,480,990,24,480,550,430,520,22,26,773,694,230,NA,NA,942,224,11478,11478,4788,2450,2338,645,500,900,80,89,14.4,23,8594,70,Private,70,90
1044,Stillman College,AL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,614,248,NA,NA,866,22,4460,4460,2754,1683,1071,100,600,1000,47,47,14.3,NA,5031,47,Private,NA,NA
1046,Talladega College,AL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4414,1500,335,30,60,908,119,5666,5666,2964,1424,1540,418,1000,1400,56,58,15.5,7,5970,46,Private,NA,NA
1047,Troy State University at Troy,AL,1,510,470,980,20,350,480,380,550,18,24,1471,1281,824,18,67,4343,990,1697,2883,2570,1450,1120,75,300,NA,50,50,23,NA,4295,48,Public,130,170
1050,Tuskegee University,AL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2267,1827,611,20,59,2825,144,6735,6735,3395,3395,NA,NA,600,1425,70,74,12.2,7,10872,65,Private,NA,NA
1051,University of Alabama at Tuscaloosa,AL,1,NA,NA,NA,23,NA,NA,NA,NA,20,25,7593,5972,2682,NA,57,13780,1599,2172,5424,3530,1600,1930,NA,580,1654,80,91,17.3,29,6426,50,Public,NA,NA
1052,University of Alabama at Birmingham,AL,1,NA,NA,NA,21,NA,NA,NA,NA,18,24,1797,1260,938,24,35,6960,4698,2220,4440,5175,1935,3240,291,750,2200,96,96,6.7,16,16352,33,Public,NA,NA
1055,University of Alabama at Huntsville,AL,1,542,468,1010,24,470,610,390,530,21,26,1376,957,445,NA,57,2727,3394,2480,4960,3500,2500,1000,NA,600,2100,83,88,12.7,12,8863,38,Public,140,140
1057,University of South Alabama,AL,1,NA,NA,NA,23,NA,NA,NA,NA,19,24,2328,2110,1047,NA,NA,7516,2943,2208,3108,2850,1530,1320,183,480,1470,80,80,13.3,NA,8667,43,Public,NA,NA
8310,Auburn University at Montgomery,AL,1,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,985,868,645,NA,NA,3477,1929,1905,5715,4430,1650,2780,NA,600,2500,74,76,18.1,NA,4792,42,Public,NA,NA
1085,University of Arkansas at Monticello,AR,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,794,662,NA,NA,4539,357,1536,3552,2310,840,1470,84,500,2800,54,54,42.6,NA,2033,NA,Public,NA,NA
1086,University of Arkansas at Pine Bluff,AR,1,368,326,694,16,NA,NA,NA,NA,NA,NA,1450,1360,744,NA,NA,2993,1020,1392,3216,2328,2328,NA,143,450,NA,47,48,16.2,NA,4618,NA,Public,NA,NA
1088,Arkansas College (Lyon College),AR,2,NA,NA,NA,25,NA,NA,NA,NA,22,27,708,334,166,46,74,530,182,8644,8644,3922,2382,1540,120,500,800,79,88,12.6,24,14579,54,Private,NA,NA
1089,Arkansas Tech University,AR,1,NA,NA,NA,21,NA,NA,NA,NA,18,24,1734,1729,951,12,52,3602,939,1730,3460,2650,NA,NA,60,450,1000,57,60,19.6,5,4739,48,Public,NA,NA
1090,Arkansas State University,AR,1,NA,NA,NA,21,NA,NA,NA,NA,18,24,2688,2633,1488,NA,NA,7212,1707,1800,3720,2580,NA,NA,130,500,NA,71,73,20,9,5128,39,Public,NA,NA
1092,University of Central Arkansas,AR,1,NA,NA,NA,22,NA,NA,NA,NA,18,25,3131,2703,1792,NA,47,7402,1119,1700,3274,2600,1440,1160,126,600,1761,71,72,20.5,10,4252,36,Public,NA,NA
1094,University of the Ozarks,AR,2,NA,NA,NA,NA,NA,NA,NA,NA,17,21,218,215,126,15,55,570,59,4800,4800,2850,1650,1200,120,400,2000,49,51,12.8,NA,8177,NA,Private,NA,NA
1098,Henderson State University,AR,1,NA,NA,NA,NA,NA,NA,NA,NA,17,22,1490,1490,771,21,47,2942,997,1440,2880,2400,2400,NA,80,500,NA,58,58,19,12,4540,68,Public,NA,NA
1099,Hendrix College,AR,2,564,525,1089,26,490,620,460,580,23,28,823,721,274,52,87,954,6,8800,8800,3195,1935,1260,325,500,1200,82,99,13.1,26,8588,63,Private,130,120
1100,John Brown University,AR,2,509,484,993,23,450,600,440,600,20,27,605,405,284,24,53,961,99,6398,6398,3672,1450,2222,148,400,1350,68,68,13.3,19,8118,75,Private,150,160
1101,University of Arkansas at Little Rock,AR,1,NA,NA,NA,19,NA,NA,NA,NA,17,22,1766,1322,1194,NA,NA,5753,4058,2136,5352,2435,2435,NA,166,800,800,61,77,14.7,4,4724,19,Public,NA,NA
1102,Ouachita Baptist University,AR,2,NA,NA,NA,NA,NA,NA,NA,NA,21,26,910,773,450,31,73,1310,61,6530,6530,2800,2800,NA,100,500,1500,63,67,13.3,10,6413,65,Private,NA,NA
1103,Philander Smith College,AR,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,350,222,12,23,701,239,2370,2370,1260,630,630,NA,NA,NA,41,41,18.1,NA,NA,NA,Private,NA,NA
1106,Williams Baptist College,AR,2,NA,NA,NA,19,NA,NA,NA,NA,17,22,220,210,131,12,34,509,97,3952,3952,2292,NA,NA,150,400,600,62,62,18,NA,4061,NA,Private,NA,NA
1107,Southern Arkansas University,AR,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792,792,499,26,45,2229,270,1500,2340,2240,NA,NA,NA,400,NA,40,74,17,NA,4653,33,Public,NA,NA
1108,University of Arkansas at Fayetteville,AR,1,NA,NA,NA,NA,NA,NA,NA,NA,20,26,3235,3108,2133,25,65,9978,1530,1932,5028,3300,3300,NA,122,500,2000,73,89,14.8,10,6820,39,Public,NA,NA
10311,Harding University,AR,2,530,490,1020,24,NA,NA,NA,NA,20,28,1721,1068,806,35,75,3128,213,5504,5504,3528,1650,1878,1016,700,910,71,77,17.7,37,6466,73,Private,NA,NA
1074,Grand Canyon University,AZ,2,485,441,926,22,420,550,380,500,19,24,497,393,169,NA,NA,1364,454,6870,6870,3100,NA,NA,370,400,1125,56,60,14.2,NA,6219,81,Private,130,120
1081,Arizona State University Main campus,AZ,1,521,453,974,23,450,590,390,500,20,25,12809,10308,3761,24,49,22593,7585,1828,7434,4850,NA,NA,66,700,2100,88,93,18.9,5,4602,48,Public,140,110
1082,Northern Arizona University,AZ,1,495,444,939,22,420,560,380,500,19,24,5891,4931,1973,23,48,11249,2682,1828,6746,3728,1890,1838,66,620,2342,78,83,21.7,7,6157,41,Public,140,120
1083,University of Arizona,AZ,1,526,462,983,23,450,600,400,520,20,26,14079,12238,4529,29,57,21664,4894,1828,7434,4216,2186,2030,66,620,2550,91,95,19.6,NA,9683,49,Public,150,120
29022,Prescott College,AZ,2,NA,NA,1000,23,NA,NA,NA,NA,NA,NA,321,227,129,NA,NA,693,40,9800,9800,NA,NA,NA,495,400,3522,55,58,2.3,NA,6562,NA,Private,NA,NA
1117,Azusa Pacific University,CA,2,474,428,902,21,410,560,380,490,19,24,1080,948,504,25,56,2032,122,15500,15500,3700,1900,1800,206,250,750,47,60,12.8,7,9627,NA,Private,150,110
1122,Biola University,CA,2,500,440,940,22,425,590,400,550,18,26,1118,896,459,NA,NA,2058,111,11388,11388,4546,1984,2562,NA,1000,NA,67,67,16.6,15,9329,36,Private,165,150
1125,California Baptist College,CA,2,441,395,836,19,NA,NA,NA,NA,NA,NA,308,262,157,NA,44,592,113,6370,6370,3894,1800,2094,370,NA,NA,56,63,13,NA,8554,43,Private,NA,NA
1131,California Institute of Technology,CA,2,750,660,1410,NA,740,780,610,700,NA,NA,1916,507,210,98,100,912,NA,16695,16695,5051,NA,NA,210,735,3466,100,100,6.5,36,62469,83,Private,40,90
1133,California Lutheran University,CA,2,495,436,931,21,430,560,370,490,19,24,563,247,247,23,52,1427,432,12950,12950,5300,5300,NA,215,612,576,72,74,12.4,17,8985,60,Private,130,120
1137,California State Univ. at Fullerton,CA,1,476,395,871,21,400,540,330,450,17,23,6004,4480,1470,NA,NA,12147,6681,1606,8990,3476,3476,NA,1606,600,NA,88,93,19.9,NA,6288,56,Public,140,120
1138,California State Univ. at Hayward,CA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2121,698,1126,NA,NA,6790,2988,1432,8803,2550,2550,NA,NA,450,NA,NA,NA,20.5,NA,7237,47,Public,NA,NA
1139,California State Univ. at Long Beach,CA,1,456,382,838,21,NA,NA,NA,NA,NA,NA,10278,7746,2576,NA,NA,NA,NA,1053,8233,4400,4400,NA,NA,NA,NA,80,83,20.3,NA,5382,48,Public,NA,NA
1140,California State Univ. at Los Angeles,CA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5609,2756,1268,NA,NA,9358,5222,1788,7454,2900,2900,NA,119,577,NA,53,58,20.4,NA,8145,49,Public,NA,NA
1141,California State Univ. at Dominguez Hills,CA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1493,1194,428,NA,NA,4246,2457,1440,8820,2116,NA,2116,NA,NA,NA,90,90,18.1,NA,8257,24,Public,NA,NA
1142,California State Univ. at San Bernardino,CA,1,440,399,839,NA,370,500,340,460,NA,NA,2329,1619,1521,NA,NA,6609,4398,NA,NA,NA,NA,NA,NA,NA,NA,93,100,20.3,NA,6654,49,Public,130,120
1143,California Polytechnic-San Luis,CA,1,547,455,1002,21,300,700,300,600,17,26,7811,3817,1650,47,73,12911,1404,2033,7380,4877,2335,2542,20,612,2091,72,81,19.8,13,8453,59,Public,400,300
1144,California Poly-Pomona,CA,1,NA,NA,NA,NA,420,570,320,460,17,24,5945,3887,1566,NA,60,11177,4027,NA,5904,4862,2499,2363,1720,630,2430,73,76,18.5,7,7867,50,Public,150,140
1146,California State University at Chico,CA,1,479,420,899,21,420,540,370,480,18,23,4816,3922,1278,NA,75,11822,1343,NA,5904,5050,2020,3030,1982,612,2100,NA,NA,18.9,5,7798,63,Public,120,110
1147,California State University at Fresno,CA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4540,3294,1483,5,60,13494,1254,1802,7706,4368,NA,NA,NA,600,1926,90,90,21.2,8,7268,61,Public,NA,NA
1149,Humboldt State University,CA,1,501,455,956,22,NA,NA,NA,NA,NA,NA,3467,2190,565,NA,NA,5637,678,1599,9979,4200,4200,NA,1467,600,800,80,82,16.4,4,8650,65,Public,NA,NA
1150,California State University at Sacramento,CA,1,476,408,884,NA,NA,NA,NA,NA,NA,NA,4348,3026,1234,NA,NA,13724,8161,1716,9096,4500,NA,NA,NA,700,NA,79,NA,19.2,3,7530,47,Public,NA,NA
1151,San Diego State University,CA,1,457,394,851,20,NA,NA,NA,NA,NA,NA,9402,7020,2151,20,70,16407,5550,1742,8384,5110,3556,NA,NA,612,2400,87,93,19.5,7,7930,41,Public,NA,NA
1153,California State University at Northridge,CA,1,444,365,809,19,NA,NA,NA,NA,NA,NA,7672,5331,2157,NA,33,15567,7544,1440,5904,5500,NA,NA,1520,576,1464,NA,83,20.3,NA,6691,43,Public,NA,NA
1154,San Francisco State University,CA,1,444,372,816,19,400,510,290,450,16,22,5385,3539,1259,NA,NA,13165,5937,1584,8964,6776,NA,NA,352,630,2286,75,77,17.4,1,7651,55,Public,110,160
1155,San Jose State University,CA,1,467,371,838,19,380,540,300,440,16,21,5210,4094,1420,NA,NA,14392,7263,1976,8820,4224,1680,2544,194,350,2204,72,74,17.4,6,5957,46,Public,160,140
1156,Sonoma State University,CA,1,482,486,968,22,410,540,370,500,19,25,2726,982,557,47,84,4239,1259,NA,7830,5189,3348,1841,2106,610,1650,79,86,16.1,1,7304,40,Public,130,130
1157,California State University at Stanislaus,CA,1,449,400,849,19,NA,NA,NA,NA,NA,NA,1042,830,461,NA,NA,2895,1678,1584,8868,5300,NA,NA,NA,650,NA,89,94,15.3,9,7333,NA,Public,NA,NA
1158,United States International University,CA,2,464,431,895,19,380,570,350,490,NA,NA,322,168,51,NA,NA,237,67,11760,11760,4225,4225,NA,90,630,1836,90,90,15.7,NA,10317,23,Private,190,140
1164,Chapman University,CA,2,501,456,957,22,430,560,400,500,19,24,959,771,351,23,48,1662,209,16624,16624,5895,5895,NA,521,600,1100,72,80,12.8,6,12692,47,Private,130,100
1170,Claremont McKenna College,CA,2,670,600,1270,28,620,720,560,640,26,30,1860,767,227,71,93,887,1,17000,17000,6010,3160,2850,140,500,850,99,99,9.6,52,18443,87,Private,100,80
1171,Harvey Mudd College,CA,2,740,630,1370,NA,710,770,580,690,NA,NA,1377,572,178,95,100,654,5,17230,17230,6690,3320,3370,465,700,900,100,100,8.2,46,21569,100,Private,60,110
1172,Pitzer College,CA,2,590,560,1150,26,540,630,530,610,24,29,1133,630,220,37,73,750,30,17688,17688,5900,3192,2708,1548,650,850,100,100,10.4,11,14820,73,Private,90,80
1173,Pomona College,CA,2,700,640,1340,31,650,730,600,680,NA,NA,3037,1130,390,80,98,1500,NA,17720,17720,7220,NA,NA,180,800,1000,94,98,8.9,47,20682,91,Private,80,80
1174,Scripps College,CA,2,590,560,1150,26,540,640,500,610,NA,NA,855,632,139,60,83,569,7,17238,17238,7350,3500,3850,112,600,800,95,100,8.2,41,18372,73,Private,100,110
1179,College of Notre Dame,CA,2,NA,NA,NA,NA,390,510,380,470,18,23,344,264,97,11,42,500,331,12600,12600,5520,5520,NA,NA,630,2250,77,80,10.4,7,9773,43,Private,120,90
1183,Holy Names College,CA,2,450,448,898,NA,390,500,400,470,NA,NA,258,157,43,NA,NA,273,317,11480,11480,5280,NA,NA,290,630,2034,75,75,7.8,41,10362,44,Private,110,70
1196,Dominican College of San Rafael,CA,2,452,432,884,NA,390,520,380,470,NA,NA,213,173,75,NA,NA,648,150,12790,12790,6100,6100,NA,250,650,2250,56,63,11.6,29,8966,50,Private,130,90
1215,La Sierra University,CA,2,468,420,888,20,380,520,350,470,18,23,659,530,325,NA,NA,1067,268,12180,12180,3885,2160,1695,195,683,2438,69,76,12.6,14,8294,49,Private,140,120
1216,University of La Verne,CA,2,472,431,903,22,400,540,362,475,16,25,1597,969,226,16,38,1431,1522,13540,13540,5050,5050,NA,NA,630,2298,66,68,14.1,23,10139,47,Private,140,113
1236,Menlo College,CA,2,447,382,829,19,370,510,320,440,NA,NA,315,275,115,NA,NA,553,9,13975,13975,6200,6200,NA,690,500,NA,46,46,15.4,5,11304,NA,Private,140,120
1238,Mills College,CA,2,520,530,1050,25,480,600,470,610,NA,NA,529,414,132,32,66,781,43,14100,14100,6000,NA,3000,442,600,1370,NA,99,10.3,24,14299,64,Private,120,140
1243,Mount St. Mary's College,CA,2,506,466,972,21,430,560,390,520,NA,NA,657,537,113,37,90,1039,466,12474,12474,5678,5678,NA,425,630,1278,53,71,11.9,19,10613,72,Private,130,130
1249,Occidental College,CA,2,570,510,1080,NA,500,640,440,560,NA,NA,2324,1319,370,52,81,1686,35,16560,16560,5140,2980,2160,334,558,1152,91,93,10.5,30,16196,79,Private,140,120
1252,Pacific Christian College,CA,2,474,426,900,22,400,540,340,490,20,26,167,142,89,9,41,414,165,6500,6500,3000,3000,NA,490,500,NA,38,38,10.7,6,5612,67,Private,140,150
1253,Fresno Pacific College,CA,2,532,476,1008,22,470,590,410,530,20,25,346,274,146,51,87,704,63,9900,9900,3670,1500,2170,174,630,1818,59,59,10.5,14,8095,54,Private,120,120
1258,Pacific Union College,CA,2,NA,NA,NA,22,NA,NA,NA,NA,19,25,940,668,385,20,48,1316,139,11925,11925,3825,1590,2235,NA,630,1926,48,87,12.3,12,9157,69,Private,NA,NA
1262,Point Loma Nazarene College,CA,2,472,425,897,21,390,540,360,490,19,23,809,687,428,20,43,1889,217,10176,10178,4190,NA,NA,134,800,750,71,71,16.1,19,7895,54,Private,150,130
1264,Pepperdine University,CA,2,585,514,1099,25,510,630,450,550,22,28,3821,2037,680,86,96,2488,625,18200,18200,6770,3750,3020,70,500,700,95,98,11.6,13,16185,66,Private,120,100
1293,Southern California College,CA,2,466,443,909,21,360,540,350,480,19,26,385,340,193,18,38,784,127,9520,9520,4124,1980,2144,340,630,1818,63,65,18.6,11,8219,43,Private,180,130
1302,St. Mary's College of California,CA,2,549,483,1032,NA,501,598,432,538,NA,NA,2643,1611,465,36,80,2615,248,13332,13332,6354,3177,3177,120,630,1584,88,89,16.1,17,9619,78,Private,97,106
1305,Stanford University,CA,2,736,665,1401,31,650,750,580,690,26,33,13608,2926,1616,88,97,6573,NA,18669,18669,6795,NA,NA,NA,840,1355,NA,99,9.7,25,33629,96,Private,100,110
1312,University of California at Berkeley,CA,1,654,564,1218,NA,590,730,500,640,NA,NA,19873,8252,3215,95,100,19532,2061,3949,11648,6246,NA,NA,NA,636,1933,93,97,15.8,10,13919,78,Public,140,140
1313,University of California at Davis,CA,1,585,485,1070,24,520,650,420,560,21,27,16343,11399,3124,95,100,15429,1888,NA,7699,5285,NA,NA,4374,841,2374,NA,98,14.5,11,15873,76,Public,130,140
1314,University of California at Irvine,CA,1,574,455,1029,NA,510,640,390,510,NA,NA,15698,10775,2478,85,100,12677,864,4325,12024,5302,NA,NA,NA,790,1818,96,96,16.1,11,15934,66,Public,130,120
1315,University of California at Los Angeles,CA,1,621,520,1141,NA,558,700,460,590,NA,NA,22165,10435,3591,93,100,21637,1255,NA,7689,5580,NA,NA,3894,850,1255,97,99,11.8,9,20260,77,Public,142,130
1316,University of California at Riverside,CA,1,542,440,982,23,470,620,360,510,19,25,9798,7566,1470,80,100,6922,265,NA,7699,5430,NA,NA,4092,780,1350,98,99,13.4,8,12528,62,Public,150,150
1317,University of California at San Diego,CA,1,616,515,1131,26,560,680,460,570,23,28,19433,11469,2481,95,100,13738,711,NA,7699,6607,NA,NA,4128,630,1935,100,100,13.9,6,17674,66,Public,120,110
1320,University of California at Santa Barbara,CA,1,547,459,1006,NA,520,610,400,490,NA,NA,16663,14141,3239,90,100,15638,693,NA,11218,5990,NA,NA,4372,630,2045,96,100,18.9,6,9475,69,Public,90,90
1321,University of California at Santa Cruz,CA,1,554,505,1059,NA,490,620,440,580,NA,NA,10758,8559,1717,94,100,8713,607,NA,7699,6081,6081,NA,4110,633,1191,94,100,21.3,10,10860,59,Public,130,140
1322,University of Redlands,CA,2,NA,NA,NA,NA,470,610,450,540,21,26,1498,1219,306,26,63,1369,1587,16530,16530,6205,2795,3410,405,600,NA,81,87,8.9,25,10685,73,Private,140,90
1325,University of San Francisco,CA,2,514,463,977,21,450,590,390,520,20,25,2306,1721,538,23,48,4309,549,13226,13226,6452,3846,2606,100,750,2450,86,86,13.6,8,10074,62,Private,140,130
1326,Santa Clara University,CA,2,NA,NA,NA,NA,520,630,440,540,NA,NA,4019,2779,888,40,73,3891,128,13584,13584,5928,5928,NA,396,630,1278,88,92,13.9,19,10872,100,Private,110,100
1328,University of Southern California,CA,2,592,498,1090,25,520,660,430,570,22,28,12229,8498,2477,45,71,13259,1429,17230,17230,6482,3566,2916,330,600,2210,90,94,11.4,10,17007,68,Private,140,140
1329,University of the Pacific,CA,2,531,444,975,NA,460,620,400,540,NA,NA,2459,1997,582,36,66,2664,299,16320,16320,5326,NA,NA,330,646,1171,87,94,11.2,14,13706,65,Private,160,140
1341,Westmont College,CA,1,550,501,1051,24,480,620,450,550,22,26,950,713,351,42,72,1276,9,14320,14320,5304,3080,2224,866,490,1410,77,77,14.9,17,8837,87,Public,140,100
1342,Whittier College,CA,2,507,454,961,NA,430,580,390,510,NA,NA,1681,1069,344,35,63,1235,30,16249,16249,5699,5699,NA,579,500,1998,84,92,13.6,29,11778,52,Private,150,120
1343,Woodbury University,CA,2,441,381,822,20,380,500,320,430,17,22,349,313,111,NA,NA,765,191,13020,13020,5490,NA,NA,840,900,2160,28,60,13.5,2,6944,54,Private,120,110
2741,University of Judaism,CA,2,551,489,1040,NA,510,620,420,600,NA,NA,52,36,18,NA,NA,88,12,10560,10560,6200,NA,NA,428,825,2325,100,100,7.2,NA,31012,55,Private,110,180
3948,San Francisco Art Institute,CA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,136,41,NA,NA,438,103,14500,14500,5600,5600,NA,NA,1200,1620,NA,100,14.4,NA,9742,30,Private,NA,NA
7993,California State Univ. at Bakersfield,CA,1,450,392,842,21,NA,NA,NA,NA,NA,NA,941,643,415,NA,66,2571,1263,1204,8725,3475,NA,3475,914,300,NA,82,94,13.4,NA,NA,24,Public,NA,NA
10395,University of San Diego,CA,2,548,490,1038,NA,500,600,450,520,NA,NA,3934,2735,886,40,70,3698,217,13600,13600,5940,NA,NA,100,630,1820,93,96,15.6,13,10813,66,Private,100,70
10448,Thomas Aquinas College,CA,2,589,583,1172,NA,NA,NA,NA,NA,NA,NA,125,87,67,22,59,208,NA,13400,13400,5200,NA,NA,NA,300,1400,68,68,10.9,43,11513,71,Private,NA,NA
11649,Loyola Marymount University,CA,2,549,485,1034,NA,480,600,420,530,NA,NA,3768,2662,753,42,64,3558,436,13592,13592,5916,3276,2640,176,545,1328,84,88,14.2,10,11677,84,Private,120,110
29059,Concordia University,CA,2,485,420,905,22,400,570,360,490,19,24,688,497,144,30,75,641,101,10800,10800,4440,2520,1920,690,570,1515,55,60,13.1,13,8415,55,Private,170,130
1345,Adams State College,CO,1,NA,NA,NA,21,NA,NA,NA,NA,18,24,1508,1259,569,16,44,1922,232,1386,1672,3730,1820,1910,374,520,2200,63,67,27.9,NA,3897,60,Public,NA,NA
1347,Colorado College,CO,2,NA,NA,NA,NA,560,670,510,620,25,30,3207,1577,490,56,87,1892,7,17142,17142,4190,2114,2076,120,450,1200,85,97,11.3,51,14664,84,Private,110,110
1349,University of Northern Colorado,CO,1,480,440,920,22,420,540,380,480,19,24,5530,4007,1697,12,37,8463,1498,1829,7731,4128,NA,NA,398,540,2286,75,75,21.5,8,6309,40,Public,120,100
1350,Colorado State University,CO,1,545,479,1024,25,490,610,430,540,22,27,9478,6312,2194,29,65,15646,1829,2124,8412,4180,4180,NA,585,470,1800,87,89,19.2,10,7850,59,Public,120,110
1353,Fort Lewis College,CO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3440,2823,1123,16,35,3793,486,1450,6198,3320,1820,1500,327,500,2500,89,97,19.1,6,4362,46,Public,NA,NA
